Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-01-01,SBIN,EQ,309.9,310.6,312.75,306.3,306.75,307.1,309.08,12182400,376531488860000.0,75769,5697288,0.46770000000000006
2018-01-02,SBIN,EQ,307.1,309.0,309.0,301.35,303.0,303.25,304.0,14797364,449832848314999.94,100195,5698196,0.3851
2018-01-03,SBIN,EQ,303.25,305.3,306.45,302.15,302.8,302.85,304.32,13857373,421707048880000.0,117207,6941140,0.5009
2018-01-04,SBIN,EQ,302.85,304.5,310.2,303.15,309.25,308.5,307.63,24517099,754221120260000.0,140513,10508054,0.4286
2018-01-05,SBIN,EQ,308.5,311.4,311.4,305.6,307.25,306.35,308.05,14580575,449154398939999.94,91829,4896408,0.3358
2018-01-08,SBIN,EQ,306.35,307.2,309.5,305.0,306.05,305.8,306.58,13557197,415633843245000.0,108289,7093201,0.5232
2018-01-09,SBIN,EQ,305.8,307.5,309.5,303.3,303.9,304.3,305.88,15574755,476393452714999.94,110914,6339261,0.40700000000000003
2018-01-10,SBIN,EQ,304.3,304.65,305.85,300.0,301.05,301.1,302.25,13064599,394882500945000.0,122547,5378392,0.4117
2018-01-11,SBIN,EQ,301.1,300.9,303.0,300.0,302.15,302.2,301.97,12299087,371398280740000.0,93067,5685528,0.4623
2018-01-12,SBIN,EQ,302.2,304.65,304.65,300.55,302.5,302.25,302.54,17594228,532294147564999.94,101812,10646451,0.6051
2018-01-15,SBIN,EQ,302.25,303.95,305.25,301.55,302.4,302.6,303.54,18189668,552123296264999.94,166873,9466500,0.5204
2018-01-16,SBIN,EQ,302.6,302.4,303.35,295.3,297.2,296.15,299.15,18040940,539694855105000.0,152490,8935321,0.4953
2018-01-17,SBIN,EQ,296.15,296.0,308.4,292.6,308.1,307.1,302.54,26277307,795000984680000.0,206178,9138976,0.3478
2018-01-18,SBIN,EQ,307.1,315.0,317.8,300.5,304.8,303.25,309.57,40000111,1238274347040000.0,224468,16500702,0.41250000000000003
2018-01-19,SBIN,EQ,303.25,303.95,310.0,302.5,308.8,309.25,307.18,18461642,567108421140000.0,113020,6840931,0.3705
2018-01-22,SBIN,EQ,309.25,308.35,308.75,304.05,306.3,306.5,306.55,12622645,386944251530000.0,95105,5777289,0.45770000000000005
